,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
289,PRI,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Puerto Rico,2012,Sex,30.4 [24.7-36.5],630,1,30.4,24.7,36.5
290,PRK,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Democratic People's Republic of Korea,2012,Sex,8.3 [3.3-16.0],408,0,8.3,3.3,16.0
291,PRK,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Democratic People's Republic of Korea,2012,Sex,4.9 [1.7-10.4],408,1,4.9,1.7,10.4
292,PRT,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Portugal,2012,Sex,19.0 [17.2-21.0],620,0,19.0,17.2,21.0
293,PRT,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Portugal,2012,Sex,18.2 [16.2-20.3],620,1,18.2,16.2,20.3
294,PRY,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Paraguay,2012,Sex,27.7 [23.8-31.9],600,0,27.7,23.8,31.9
295,PRY,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Paraguay,2012,Sex,21.8 [17.7-26.1],600,1,21.8,17.7,26.1
296,PSE,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)","occupied Palestinian territory, including east Jerusalem",2012,Sex,41.6 [38.9-44.4],275,0,41.6,38.9,44.4
297,PSE,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)","occupied Palestinian territory, including east Jerusalem",2012,Sex,26.1 [23.3-28.9],275,1,26.1,23.3,28.9
298,PYF,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",French Polynesia,2012,Sex,44.9 [39.9-50.0],258,0,44.9,39.9,50.0
299,PYF,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",French Polynesia,2012,Sex,41.2 [36.2-46.4],258,1,41.2,36.2,46.4
300,QAT,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Qatar,2012,Sex,43.8 [40.1-47.5],634,0,43.8,40.1,47.5
301,QAT,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Qatar,2012,Sex,33.4 [29.7-37.3],634,1,33.4,29.7,37.3
302,ROU,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Romania,2012,Sex,21.5 [19.6-23.5],642,0,21.5,19.6,23.5
303,ROU,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Romania,2012,Sex,22.1 [19.9-24.3],642,1,22.1,19.9,24.3
304,RUS,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Russian Federation,2012,Sex,25.2 [23.5-27.0],643,0,25.2,23.5,27.0
305,RUS,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Russian Federation,2012,Sex,18.0 [16.3-19.7],643,1,18.0,16.3,19.7
306,RWA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Rwanda,2012,Sex,3.8 [3.3-4.4],646,0,3.8,3.3,4.4
307,RWA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Rwanda,2012,Sex,0.8 [0.6-1.1],646,1,0.8,0.6,1.1
308,SAU,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Saudi Arabia,2012,Sex,42.1 [39.7-44.7],682,0,42.1,39.7,44.7
309,SAU,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Saudi Arabia,2012,Sex,30.6 [28.1-33.1],682,1,30.6,28.1,33.1
310,SDN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Sudan,2012,Sex,16.4 [13.8-19.3],729,0,16.4,13.8,19.3
311,SDN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Sudan,2012,Sex,6.1 [4.7-7.8],729,1,6.1,4.7,7.8
312,SEN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Senegal,2012,Sex,12.0 [10.5-13.6],686,0,12.0,10.5,13.6
313,SEN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Senegal,2012,Sex,2.5 [1.9-3.2],686,1,2.5,1.9,3.2
314,SGP,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Singapore,2012,Sex,7.9 [7.0-9.0],702,0,7.9,7.0,9.0
315,SGP,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Singapore,2012,Sex,8.1 [7.0-9.4],702,1,8.1,7.0,9.4
316,SLB,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Solomon Islands,2012,Sex,23.4 [20.5-26.5],90,0,23.4,20.5,26.5
317,SLB,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Solomon Islands,2012,Sex,14.8 [12.5-17.4],90,1,14.8,12.5,17.4
318,SLE,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Sierra Leone,2012,Sex,9.1 [7.9-10.4],694,0,9.1,7.9,10.4
319,SLE,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Sierra Leone,2012,Sex,2.4 [1.9-3.0],694,1,2.4,1.9,3.0
320,SLV,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",El Salvador,2012,Sex,30.7 [28.0-33.4],222,0,30.7,28.0,33.4
321,SLV,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",El Salvador,2012,Sex,18.4 [15.1-21.9],222,1,18.4,15.1,21.9
322,SOM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Somalia,2012,Sex,15.5 [10.1-21.8],706,0,15.5,10.1,21.8
323,SOM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Somalia,2012,Sex,3.3 [1.5-6.0],706,1,3.3,1.5,6.0
324,SRB,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Serbia,2012,Sex,17.6 [15.8-19.4],688,0,17.6,15.8,19.4
325,SRB,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Serbia,2012,Sex,18.6 [16.7-20.6],688,1,18.6,16.7,20.6
326,SSD,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",South Sudan,2012,Sex,7.4 [4.3-11.7],728,0,7.4,4.3,11.7
327,SSD,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",South Sudan,2012,Sex,3.0 [1.4-5.3],728,1,3.0,1.4,5.3
328,STP,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Sao Tome and Principe,2012,Sex,16.8 [14.7-19.0],678,0,16.8,14.7,19.0
329,STP,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Sao Tome and Principe,2012,Sex,6.7 [5.4-8.1],678,1,6.7,5.4,8.1
330,SUR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Suriname,2012,Sex,31.0 [24.2-38.4],740,0,31.0,24.2,38.4
331,SUR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Suriname,2012,Sex,14.3 [10.0-19.6],740,1,14.3,10.0,19.6
332,SVK,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Slovakia,2012,Sex,19.0 [16.7-21.3],703,0,19.0,16.7,21.3
333,SVK,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Slovakia,2012,Sex,22.4 [19.7-25.1],703,1,22.4,19.7,25.1
334,SVN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Slovenia,2012,Sex,13.8 [12.9-14.6],705,0,13.8,12.9,14.6
335,SVN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Slovenia,2012,Sex,18.6 [17.5-19.7],705,1,18.6,17.5,19.7
336,SWE,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Sweden,2012,Sex,13.8 [12.1-15.6],752,0,13.8,12.1,15.6
337,SWE,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Sweden,2012,Sex,15.4 [13.8-17.1],752,1,15.4,13.8,17.1
338,SWZ,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Eswatini,2012,Sex,35.3 [31.9-38.7],748,0,35.3,31.9,38.7
339,SWZ,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Eswatini,2012,Sex,9.2 [7.3-11.2],748,1,9.2,7.3,11.2
340,SYC,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Seychelles,2012,Sex,34.7 [30.9-38.4],690,0,34.7,30.9,38.4
341,SYC,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Seychelles,2012,Sex,16.0 [13.0-19.0],690,1,16.0,13.0,19.0
342,SYR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Syrian Arab Republic,2012,Sex,36.5 [31.0-42.4],760,0,36.5,31.0,42.4
343,SYR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Syrian Arab Republic,2012,Sex,21.6 [16.8-26.8],760,1,21.6,16.8,26.8
344,TCD,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Chad,2012,Sex,3.9 [3.1-5.0],148,0,3.9,3.1,5.0
345,TCD,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Chad,2012,Sex,5.1 [2.8-8.3],148,1,5.1,2.8,8.3
346,TGO,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Togo,2012,Sex,10.5 [9.2-12.1],768,0,10.5,9.2,12.1
347,TGO,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Togo,2012,Sex,3.6 [2.6-4.8],768,1,3.6,2.6,4.8
348,THA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Thailand,2012,Sex,12.8 [11.4-14.1],764,0,12.8,11.4,14.1
349,THA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Thailand,2012,Sex,7.0 [6.0-8.0],764,1,7.0,6.0,8.0
350,TJK,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Tajikistan,2012,Sex,20.3 [18.1-22.5],762,0,20.3,18.1,22.5
351,TJK,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Tajikistan,2012,Sex,13.8 [10.6-17.4],762,1,13.8,10.6,17.4
352,TKL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Tokelau,2012,Sex,69.3 [64.9-73.6],772,0,69.3,64.9,73.6
353,TKL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Tokelau,2012,Sex,61.1 [56.2-65.9],772,1,61.1,56.2,65.9
354,TKM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Turkmenistan,2012,Sex,19.9 [17.6-22.2],795,0,19.9,17.6,22.2
355,TKM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Turkmenistan,2012,Sex,14.0 [11.6-16.6],795,1,14.0,11.6,16.6
356,TLS,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Timor-Leste,2012,Sex,1.5 [1.2-1.9],626,0,1.5,1.2,1.9
357,TLS,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Timor-Leste,2012,Sex,0.8 [0.5-1.1],626,1,0.8,0.5,1.1
358,TON,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Tonga,2012,Sex,72.4 [69.8-75.1],776,0,72.4,69.8,75.1
359,TON,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Tonga,2012,Sex,52.4 [49.0-55.7],776,1,52.4,49.0,55.7
360,TTO,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Trinidad and Tobago,2012,Sex,30.0 [27.0-33.1],780,0,30.0,27.0,33.1
361,TTO,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Trinidad and Tobago,2012,Sex,19.1 [16.4-21.9],780,1,19.1,16.4,21.9
362,TUN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Tunisia,2012,Sex,29.2 [25.4-33.2],788,0,29.2,25.4,33.2
363,TUN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Tunisia,2012,Sex,14.5 [11.7-17.8],788,1,14.5,11.7,17.8
364,TUR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Türkiye,2012,Sex,36.9 [35.6-38.1],792,0,36.9,35.6,38.1
365,TUR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Türkiye,2012,Sex,21.8 [20.3-23.3],792,1,21.8,20.3,23.3
366,TUV,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Tuvalu,2012,Sex,66.0 [60.7-71.0],798,0,66.0,60.7,71.0
367,TUV,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Tuvalu,2012,Sex,51.7 [46.0-57.4],798,1,51.7,46.0,57.4
368,TZA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",United Republic of Tanzania,2012,Sex,11.1 [9.9-12.4],834,0,11.1,9.9,12.4
369,TZA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",United Republic of Tanzania,2012,Sex,3.7 [2.8-4.7],834,1,3.7,2.8,4.7
370,UGA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Uganda,2012,Sex,6.5 [5.7-7.4],800,0,6.5,5.7,7.4
371,UGA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Uganda,2012,Sex,1.5 [1.2-1.9],800,1,1.5,1.2,1.9
372,UKR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Ukraine,2012,Sex,25.8 [22.5-29.2],804,0,25.8,22.5,29.2
373,UKR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Ukraine,2012,Sex,16.6 [12.9-20.8],804,1,16.6,12.9,20.8
374,URY,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Uruguay,2012,Sex,27.1 [24.5-29.9],858,0,27.1,24.5,29.9
375,URY,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Uruguay,2012,Sex,22.5 [19.6-25.4],858,1,22.5,19.6,25.4
376,USA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",United States of America,2012,Sex,37.8 [36.4-39.2],840,0,37.8,36.4,39.2
377,USA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",United States of America,2012,Sex,36.1 [34.7-37.4],840,1,36.1,34.7,37.4
378,UZB,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Uzbekistan,2012,Sex,24.7 [22.5-26.8],860,0,24.7,22.5,26.8
379,UZB,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Uzbekistan,2012,Sex,16.8 [14.6-19.1],860,1,16.8,14.6,19.1
380,VCT,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Saint Vincent and the Grenadines,2012,Sex,39.7 [35.1-44.5],670,0,39.7,35.1,44.5
381,VCT,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Saint Vincent and the Grenadines,2012,Sex,14.2 [11.3-17.5],670,1,14.2,11.3,17.5
382,VEN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Venezuela (Bolivarian Republic of),2012,Sex,24.3 [22.1-26.6],862,0,24.3,22.1,26.6
383,VEN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Venezuela (Bolivarian Republic of),2012,Sex,20.9 [18.6-23.3],862,1,20.9,18.6,23.3
384,VNM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Viet Nam,2012,Sex,0.9 [0.8-1.1],704,0,0.9,0.8,1.1
385,VNM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Viet Nam,2012,Sex,0.7 [0.6-0.9],704,1,0.7,0.6,0.9
386,VUT,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Vanuatu,2012,Sex,22.7 [19.3-26.2],548,0,22.7,19.3,26.2
387,VUT,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Vanuatu,2012,Sex,14.2 [11.7-17.1],548,1,14.2,11.7,17.1
388,WSM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Samoa,2012,Sex,66.9 [63.6-70.0],882,0,66.9,63.6,70.0
389,WSM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Samoa,2012,Sex,44.8 [41.4-48.4],882,1,44.8,41.4,48.4
390,YEM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Yemen,2012,Sex,11.5 [9.9-13.3],887,0,11.5,9.9,13.3
391,YEM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Yemen,2012,Sex,6.7 [5.1-8.4],887,1,6.7,5.1,8.4
392,ZAF,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",South Africa,2012,Sex,40.3 [38.8-41.7],710,0,40.3,38.8,41.7
393,ZAF,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",South Africa,2012,Sex,14.5 [13.5-15.6],710,1,14.5,13.5,15.6
394,ZMB,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Zambia,2012,Sex,10.3 [9.0-11.7],894,0,10.3,9.0,11.7
395,ZMB,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Zambia,2012,Sex,2.8 [2.0-3.8],894,1,2.8,2.0,3.8
396,ZWE,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Zimbabwe,2012,Sex,15.6 [13.9-17.6],716,0,15.6,13.9,17.6
397,ZWE,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Zimbabwe,2012,Sex,3.1 [2.4-3.8],716,1,3.1,2.4,3.8
