,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
30,BFA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Burkina Faso,2012,Sex,4.9 [4.2-5.7],854,0,4.9,4.2,5.7
31,BFA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Burkina Faso,2012,Sex,2.3 [1.7-3.1],854,1,2.3,1.7,3.1
32,BGD,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bangladesh,2012,Sex,3.5 [3.2-3.9],50,0,3.5,3.2,3.9
33,BGD,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bangladesh,2012,Sex,1.5 [1.2-1.7],50,1,1.5,1.2,1.7
34,BGR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bulgaria,2012,Sex,16.1 [14.1-18.1],100,0,16.1,14.1,18.1
35,BGR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bulgaria,2012,Sex,19.0 [16.6-21.6],100,1,19.0,16.6,21.6
36,BHR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bahrain,2012,Sex,38.3 [33.4-43.3],48,0,38.3,33.4,43.3
37,BHR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bahrain,2012,Sex,27.7 [23.3-32.5],48,1,27.7,23.3,32.5
38,BHS,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bahamas,2012,Sex,44.9 [40.8-49.3],44,0,44.9,40.8,49.3
39,BHS,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bahamas,2012,Sex,34.2 [30.1-38.4],44,1,34.2,30.1,38.4
40,BIH,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bosnia and Herzegovina,2012,Sex,18.5 [14.5-22.8],70,0,18.5,14.5,22.8
41,BIH,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bosnia and Herzegovina,2012,Sex,15.8 [12.3-19.7],70,1,15.8,12.3,19.7
42,BLR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Belarus,2012,Sex,23.9 [20.5-27.5],112,0,23.9,20.5,27.5
43,BLR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Belarus,2012,Sex,16.9 [13.6-20.5],112,1,16.9,13.6,20.5
