alpha3,Indicator,Time period,Value2,CI95_low,CI95_high,country-code,Dim1 type
DZA, Continued breastfeeding (12-23 months) %,2012,35.5,33.2,38.0,12,
ECU, Continued breastfeeding (12-23 months) %,2019,53.0,50.4,55.5,218,
EGY, Continued breastfeeding (12-23 months) %,2014,50.5,48.3,52.6,818,
ERI, Continued breastfeeding (12-23 months) %,2010,86.0,,,232,
ETH, Continued breastfeeding (12-23 months) %,2011,89.9,87.6,91.8,231,
GAB, Continued breastfeeding (12-23 months) %,2012,22.8,19.6,26.5,266,
GEO, Continued breastfeeding (12-23 months) %,2018,25.3,20.6,30.5,268,
GHA, Continued breastfeeding (12-23 months) %,2011,68.8,64.8,72.4,288,
GIN, Continued breastfeeding (12-23 months) %,2012,86.5,83.8,88.8,324,
GMB, Continued breastfeeding (12-23 months) %,2013,78.5,76.1,80.7,270,
GNB, Continued breastfeeding (12-23 months) %,2014,77.0,73.9,79.8,624,
GNQ, Continued breastfeeding (12-23 months) %,2011,30.8,40.0,50.7,226,
GTM, Continued breastfeeding (12-23 months) %,2009,62.9,69.5,74.4,320,
GUY, Continued breastfeeding (12-23 months) %,2014,46.0,40.5,51.6,328,
HND, Continued breastfeeding (12-23 months) %,2012,58.9,56.3,61.5,340,
HTI, Continued breastfeeding (12-23 months) %,2012,58.7,55.0,62.2,332,
IDN, Continued breastfeeding (12-23 months) %,2012,67.3,65.0,69.5,360,
IND, Continued breastfeeding (12-23 months) %,2015,79.6,79.0,80.1,356,
IRQ, Continued breastfeeding (12-23 months) %,2011,37.5,35.6,39.4,368,
JAM, Continued breastfeeding (12-23 months) %,2011,37.7,31.1,44.7,388,
JOR, Continued breastfeeding (12-23 months) %,2012,27.7,24.3,31.4,400,
KAZ, Continued breastfeeding (12-23 months) %,2010,35.6,32.2,39.2,398,
KEN, Continued breastfeeding (12-23 months) %,2014,75.4,72.6,78.0,404,
KGZ, Continued breastfeeding (12-23 months) %,2012,56.1,51.7,60.3,417,
