,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
33,BGR,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bulgaria,2012,Sex,24.9 [18.4-32.1],100,1,24.9,18.4,32.1
34,BHR,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bahrain,2012,Sex,39.0 [15.7-66.4],48,0,39.0,15.7,66.4
35,BHR,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bahrain,2012,Sex,33.2 [15.4-56.1],48,1,33.2,15.4,56.1
36,BHS,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bahamas,2012,Sex,46.2 [34.7-58.0],44,0,46.2,34.7,58.0
37,BHS,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bahamas,2012,Sex,27.9 [19.2-37.9],44,1,27.9,19.2,37.9
38,BIH,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bosnia and Herzegovina,2012,Sex,21.0 [8.9-38.6],70,0,21.0,8.9,38.6
39,BIH,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bosnia and Herzegovina,2012,Sex,14.1 [6.2-25.0],70,1,14.1,6.2,25.0
40,BLR,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Belarus,2012,Sex,16.7 [9.4-26.4],112,0,16.7,9.4,26.4
41,BLR,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Belarus,2012,Sex,15.0 [9.1-22.7],112,1,15.0,9.1,22.7
42,BLZ,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Belize,2012,Sex,43.1 [17.9-70.7],84,0,43.1,17.9,70.7
43,BLZ,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Belize,2012,Sex,31.8 [14.1-55.7],84,1,31.8,14.1,55.7
44,BOL,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bolivia (Plurinational State of),2012,Sex,25.8 [14.2-40.3],68,0,25.8,14.2,40.3
45,BOL,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bolivia (Plurinational State of),2012,Sex,17.8 [9.7-28.3],68,1,17.8,9.7,28.3
46,BRA,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Brazil,2012,Sex,38.8 [30.7-47.3],76,0,38.8,30.7,47.3
47,BRA,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Brazil,2012,Sex,32.8 [25.7-40.2],76,1,32.8,25.7,40.2
48,BRB,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Barbados,2012,Sex,46.3 [29.8-63.8],52,0,46.3,29.8,63.8
49,BRB,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Barbados,2012,Sex,32.8 [20.2-47.3],52,1,32.8,20.2,47.3
50,BRN,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Brunei Darussalam,2012,Sex,33.5 [21.8-47.4],96,0,33.5,21.8,47.4
51,BRN,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Brunei Darussalam,2012,Sex,25.6 [15.7-37.5],96,1,25.6,15.7,37.5
52,BTN,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bhutan,2012,Sex,12.9 [7.4-20.0],64,0,12.9,7.4,20.0
53,BTN,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bhutan,2012,Sex,8.3 [4.7-13.2],64,1,8.3,4.7,13.2
54,BWA,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Botswana,2012,Sex,29.8 [20.7-40.1],72,0,29.8,20.7,40.1
55,BWA,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Botswana,2012,Sex,19.4 [12.8-26.9],72,1,19.4,12.8,26.9
56,CAF,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Central African Republic,2012,Sex,19.9 [5.3-42.3],140,0,19.9,5.3,42.3
57,CAF,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Central African Republic,2012,Sex,14.8 [5.1-32.5],140,1,14.8,5.1,32.5
58,CAN,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Canada,2012,Sex,33.9 [26.0-42.0],124,0,33.9,26.0,42.0
59,CAN,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Canada,2012,Sex,30.2 [23.3-37.6],124,1,30.2,23.3,37.6
