,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
126,DNK,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Denmark,2010,Sex,26.4 [21.7-31.2],208,0,26.4,21.7,31.2
127,DNK,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Denmark,2010,Sex,24.7 [20.1-29.4],208,0,24.7,20.1,29.4
128,DNK,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Denmark,2010,Sex,28.1 [23.3-32.9],208,1,28.1,23.3,32.9
129,DZA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Algeria,2010,Sex,16.8 [13.0-20.6],12,0,16.8,13.0,20.6
130,DZA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Algeria,2010,Sex,1.0 [0.7-1.3],12,0,1.0,0.7,1.3
131,DZA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Algeria,2010,Sex,32.6 [25.4-39.9],12,1,32.6,25.4,39.9
132,ECU,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ecuador,2010,Sex,12.1 [8.9-15.3],218,0,12.1,8.9,15.3
133,ECU,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ecuador,2010,Sex,4.2 [2.8-5.5],218,0,4.2,2.8,5.5
134,ECU,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ecuador,2010,Sex,20.1 [15.0-25.1],218,1,20.1,15.0,25.1
135,EGY,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Egypt,2010,Sex,21.5 [17.8-25.3],818,0,21.5,17.8,25.3
136,EGY,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Egypt,2010,Sex,0.6 [0.4-0.7],818,0,0.6,0.4,0.7
137,EGY,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Egypt,2010,Sex,42.5 [35.1-49.8],818,1,42.5,35.1,49.8
138,ESP,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Spain,2010,Sex,31.5 [25.9-37.1],724,0,31.5,25.9,37.1
139,ESP,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Spain,2010,Sex,27.0 [22.7-31.3],724,0,27.0,22.7,31.3
140,ESP,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Spain,2010,Sex,36.0 [29.1-42.8],724,1,36.0,29.1,42.8
141,EST,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Estonia,2010,Sex,33.6 [28.1-39.0],233,0,33.6,28.1,39.0
142,EST,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Estonia,2010,Sex,24.3 [20.4-28.3],233,0,24.3,20.4,28.3
143,EST,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Estonia,2010,Sex,42.8 [35.8-49.7],233,1,42.8,35.8,49.7
144,ETH,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ethiopia,2010,Sex,4.1 [3.3-4.8],231,0,4.1,3.3,4.8
145,ETH,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ethiopia,2010,Sex,0.8 [0.5-1.0],231,0,0.8,0.5,1.0
146,ETH,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ethiopia,2010,Sex,7.4 [6.1-8.6],231,1,7.4,6.1,8.6
147,FIN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Finland,2010,Sex,22.9 [19.1-26.7],246,0,22.9,19.1,26.7
148,FIN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Finland,2010,Sex,19.7 [16.5-23.0],246,0,19.7,16.5,23.0
149,FIN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Finland,2010,Sex,26.1 [21.7-30.5],246,1,26.1,21.7,30.5
150,FJI,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Fiji,2010,Sex,30.6 [23.3-38.0],242,0,30.6,23.3,38.0
151,FJI,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Fiji,2010,Sex,14.4 [10.9-17.8],242,0,14.4,10.9,17.8
152,FJI,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Fiji,2010,Sex,46.9 [35.7-58.2],242,1,46.9,35.7,58.2
153,FRA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),France,2010,Sex,34.0 [28.3-39.8],250,0,34.0,28.3,39.8
154,FRA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),France,2010,Sex,30.5 [25.0-35.9],250,0,30.5,25.0,35.9
155,FRA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),France,2010,Sex,37.5 [31.5-43.6],250,1,37.5,31.5,43.6
156,GAB,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Gabon,2010,Sex,11.6 [7.4-15.8],266,0,11.6,7.4,15.8
157,GAB,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Gabon,2010,Sex,3.8 [2.3-5.3],266,0,3.8,2.3,5.3
158,GAB,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Gabon,2010,Sex,19.5 [12.6-26.4],266,1,19.5,12.6,26.4
159,GBR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),United Kingdom of Great Britain and Northern Ireland,2010,Sex,24.2 [20.1-28.3],826,0,24.2,20.1,28.3
160,GBR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),United Kingdom of Great Britain and Northern Ireland,2010,Sex,22.1 [18.6-25.6],826,0,22.1,18.6,25.6
161,GBR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),United Kingdom of Great Britain and Northern Ireland,2010,Sex,26.3 [21.7-31.0],826,1,26.3,21.7,31.0
162,GEO,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Georgia,2010,Sex,32.1 [27.1-37.1],268,0,32.1,27.1,37.1
163,GEO,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Georgia,2010,Sex,6.4 [5.2-7.6],268,0,6.4,5.2,7.6
164,GEO,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Georgia,2010,Sex,57.8 [49.0-66.5],268,1,57.8,49.0,66.5
165,GHA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ghana,2010,Sex,4.1 [3.2-4.9],288,0,4.1,3.2,4.9
166,GHA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ghana,2010,Sex,0.6 [0.4-0.8],288,0,0.6,0.4,0.8
167,GHA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ghana,2010,Sex,7.5 [6.0-9.0],288,1,7.5,6.0,9.0
168,GMB,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Gambia,2010,Sex,14.4 [11.5-17.4],270,0,14.4,11.5,17.4
169,GMB,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Gambia,2010,Sex,0.7 [0.5-1.0],270,0,0.7,0.5,1.0
170,GMB,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Gambia,2010,Sex,28.1 [22.4-33.8],270,1,28.1,22.4,33.8
171,GNB,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Guinea-Bissau,2010,Sex,11.7 [6.8-16.6],624,0,11.7,6.8,16.6
172,GNB,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Guinea-Bissau,2010,Sex,0.6 [0.2-1.0],624,0,0.6,0.2,1.0
173,GNB,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Guinea-Bissau,2010,Sex,22.8 [13.4-32.3],624,1,22.8,13.4,32.3
174,GRC,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Greece,2010,Sex,41.3 [33.8-48.9],300,0,41.3,33.8,48.9
