,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code
89,MDA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Republic of Moldova,2022,,9.0,498
90,MDG,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Madagascar,2022,,6.4,450
91,MDV,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Maldives,2022,,5.2,462
92,MEX,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Mexico,2022,,0.1,484
93,MHL,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Marshall Islands,2022,,4.9,584
94,MKD,,Prevalence of chronic hepatitis B (HBV) in the general population (%),North Macedonia,2022,,1.7,807
95,MLI,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Mali,2022,,13.9,466
96,MNE,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Montenegro,2022,,1.5,499
97,MNG,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Mongolia,2022,,5.7,496
98,MOZ,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Mozambique,2022,,6.2,508
99,MRT,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Mauritania,2022,,9.2,478
100,MUS,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Mauritius,2022,,5.2,480
101,MWI,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Malawi,2022,,2.7,454
102,MYS,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Malaysia,2022,,1.7,458
103,NAM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Namibia,2022,,5.6,516
104,NER,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Niger,2022,,10.1,562
105,NGA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Nigeria,2022,,6.6,566
106,NIC,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Nicaragua,2022,,0.7,558
107,NIU,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Niue,2022,,5.8,570
108,NLD,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Netherlands (Kingdom of the),2022,,0.3,528
109,NOR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Norway,2022,,0.3,578
110,NPL,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Nepal,2022,,1.2,524
111,NRU,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Nauru,2022,,5.8,520
112,OMN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Oman,2022,,2.5,512
113,PAK,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Pakistan,2022,,1.6,586
114,PAN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Panama,2022,,0.3,591
115,PER,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Peru,2022,,0.4,604
116,PHL,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Philippines,2022,,4.9,608
117,PLW,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Palau,2022,,5.8,585
118,PNG,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Papua New Guinea,2022,,5.8,598
119,POL,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Poland,2022,,0.6,616
120,PRT,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Portugal,2022,,0.4,620
121,PRY,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Paraguay,2022,,0.5,600
122,QAT,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Qatar,2022,,1.1,634
123,ROU,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Romania,2022,,5.1,642
124,RUS,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Russian Federation,2022,,1.1,643
125,RWA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Rwanda,2022,,1.6,646
126,SAU,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Saudi Arabia,2022,,0.8,682
127,SDN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Sudan,2022,,4.3,729
128,SEN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Senegal,2022,,5.3,686
129,SGP,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Singapore,2022,,2.2,702
130,SLB,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Solomon Islands,2022,,8.3,90
131,SLE,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Sierra Leone,2022,,13.5,694
132,SLV,,Prevalence of chronic hepatitis B (HBV) in the general population (%),El Salvador,2022,,0.9,222
133,SMR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),San Marino,2022,,0.5,674
134,SOM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Somalia,2022,,5.2,706
135,SRB,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Serbia,2022,,1.6,688
136,SSD,,Prevalence of chronic hepatitis B (HBV) in the general population (%),South Sudan,2022,,9.9,728
137,STP,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Sao Tome and Principe,2022,,9.3,678
138,SUR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Suriname,2022,,1.8,740
139,SWZ,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Eswatini,2022,,8.7,748
140,SYC,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Seychelles,2022,,5.2,690
141,SYR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Syrian Arab Republic,2022,,1.7,760
142,TCD,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Chad,2022,,9.5,148
143,TGO,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Togo,2022,,9.4,768
144,THA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Thailand,2022,,2.6,764
145,TJK,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Tajikistan,2022,,5.4,762
146,TKM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Turkmenistan,2022,,8.2,795
147,TLS,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Timor-Leste,2022,,9.1,626
148,TON,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Tonga,2022,,9.0,776
149,TTO,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Trinidad and Tobago,2022,,1.9,780
150,TUN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Tunisia,2022,,3.6,788
151,TUR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Türkiye,2022,,2.3,792
152,TUV,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Tuvalu,2022,,7.8,798
153,TZA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),United Republic of Tanzania,2022,,2.8,834
154,UGA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Uganda,2022,,2.4,800
155,UKR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Ukraine,2022,,1.3,804
156,URY,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Uruguay,2022,,5.0,858
157,UZB,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Uzbekistan,2022,,2.1,860
158,VCT,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Saint Vincent and the Grenadines,2022,,1.6,670
159,VEN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Venezuela (Bolivarian Republic of),2022,,1.3,862
160,VNM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Viet Nam,2022,,7.2,704
161,VUT,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Vanuatu,2022,,7.3,548
162,WSM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Samoa,2022,,4.3,882
163,YEM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Yemen,2022,,2.8,887
164,ZAF,,Prevalence of chronic hepatitis B (HBV) in the general population (%),South Africa,2022,,4.6,710
165,ZMB,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Zambia,2022,,1.8,894
166,ZWE,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Zimbabwe,2022,,7.7,716
